classification,Avg_PnL,Win_Rate,Volatility
Extreme Fear,34.53786207897196,0.370607476635514,29534.839183095246
Extreme Greed,67.89286133909282,0.46494298859771954,27496.863831912266
Fear,54.2903996254993,0.42076750165758364,31659.771538261888
Greed,42.74355948851957,0.38482794266743536,30599.04017290031
Neutral,34.30771839807886,0.3969909250119408,17447.863644987145
